Employee_Name,EmpID,EmpStatusID,DeptID,PerfScoreID,PayRate,PositionID,Position,State,Zip,DOB,Gender,MaritalDesc,CitizenDesc,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30
"Pitt, Brad ",1001735072,1,5,3,17,19,Production Technician I,MA,2451,11/23/81,,Single,,N/A - still employed,Active,Production       ,David Stanley,14,Search Engine - Google Bing Yahoo,Fully Meets,3.66,3,0,4
"Rose, Ashley  ",710007555,1,5,3,17,19,Production Technician I,MA,1886,12-05-1974,F,Separated,US Citizen,N/A - still employed,Active,Production       ,David Stanley,14,Website Banner Ads,Fully Meets,5,4,0,0
"Squatrito, Kristen",1405067138,5,5,4,21,19,Production Technician I,MA,2359,03/26/73,F,Divorced,US Citizen,unhappy,Voluntarily Terminated,Production       ,David Stanley,14,MBTA ads,Exceeds,1.97,4,0,
"Trang, Mei",1012023152,1,5,2,22,19,Production Technician I,MA,2021,05/16/83,F,Single,US Citizen,N/A - still employed,Active,Production       ,David Stanley,14,Professional Society,Needs Improvement,,5,0,0
"Zima, Colleen",1211051232,1,5,3,15,19,Production Technician I,MA,1730,08/17/78,F,Widowed,US Citizen,N/A - still employed,Active,Production       ,David Stanley,14,On-campus Recruiting,Fully Meets,1.24,5,0,0
"Alagbe,Trina",1011022883,1,5,3,,19,Production Technician I,MA,1886,09/27/88,F,Married,US Citizen,N/A - still employed,Active,Production       ,Elijiah Gray,16,Billboard,Fully Meets,4.84,5,0,0
"Beatrice, Courtney ",1403066194,1,5,3,22,19,Production Technician I,MA,1915,10/27/70,F,Single,Eligible NonCitizen,N/A - still employed,Active,Production       ,Elijiah Gray,16,Search Engine - Google Bing Yahoo,Fully Meets,5,5,0,0
"Chan, Lin",1305057282,1,5,3,19.5,19,Production Technician I,MA,2170,02-12-1979,F,Single,US Citizen,N/A - still employed,Active,Production       ,Elijiah Gray,16,Internet Search,Fully Meets,2.73,4,0,0
"Darson, Jene'ya ",1001109612,1,5,3,15,19,Production Technician I,MA,2110,11-05-1978,F,Married,US Citizen,N/A - still employed,Active,Production       ,Elijiah Gray,16,,Fully Meets,5,3,0,0
"Evensen, April",1107027392,4,5,2,18,19,Production Technician I,MA,2458,05-06-1989,,Single,US Citizen,"no-call, no-show",Terminated for Cause,Production       ,Elijiah Gray,16,Word of Mouth,Needs Improvement,1.04,,0,
"Gerke, Melisa",1308060622,5,5,3,22,19,Production Technician I,MA,2330,05/15/70,,Divorced,US Citizen,hours,Voluntarily Terminated,Production       ,Elijiah Gray,16,Diversity Job Fair,Fully Meets,4.24,4,0,
"Harrell, Ludwick",1406068241,1,5,3,21,19,Production Technician I,MA,1776,09-02-1982,M ,Married,,N/A - still employed,Active,Production       ,Elijiah Gray,16,Search Engine - Google Bing Yahoo,Fully Meets,,3,0,0
"Jung, Judy  ",1107027450,5,5,3,21,19,Production Technician I,MA,2446,04/17/86,F,Married,US Citizen,unhappy,Voluntarily Terminated,Production       ,Elijiah Gray,16,Monster.com,Fully Meets,4,4,0,7
"Lydon, Allison",1101023353,3,5,3,20,19,Production Technician I,MA,2122,10/22/75,F,Married,US Citizen,N/A - still employed,Leave of Absence,Production       ,Elijiah Gray,16,Website Banner Ads,Fully Meets,5,3,0,0
"Motlagh,  Dawn",1102024121,1,5,3,15,19,Production Technician I,MA,2453,07-07-1984,F,Divorced,US Citizen,N/A - still employed,Active,Production       ,Elijiah Gray,16,MBTA ads,Fully Meets,1.76,4,0,0
"Panjwani, Nina",1109029531,5,5,3,,19,Production Technician I,MA,2351,05-01-1979,F,Married,US Citizen,Another position,Voluntarily Terminated,Production       ,Elijiah Gray,16,Social Networks - Facebook Twitter etc,Fully Meets,3.89,4,0,
"Rhoads, Thomas",1211050793,5,5,3,20,19,Production Technician I,MA,2176,07/22/82,,Divorced,US Citizen,retiring,Voluntarily Terminated,Production       ,Elijiah Gray,16,Professional Society,Fully Meets,5,4,0,
"Sander, Kamrin",1302053362,1,5,3,21,19,Production Technician I,MA,2154,07-10-1988,F,Married,US Citizen,N/A - still employed,Active,Production       ,Elijiah Gray,16,On-campus Recruiting,Fully Meets,3.51,3,0,0
"Sutwell, Barbara",1407069061,1,5,3,14,19,Production Technician I,MA,2718,08/15/68,F,Single,Eligible NonCitizen,N/A - still employed,Active,Production       ,Elijiah Gray,16,Glassdoor,Fully Meets,2.77,5,0,0
"Wallace, Theresa",1101023619,5,5,2,15,19,Production Technician I,MA,1887,08-02-1980,F,Single,US Citizen,career change,Voluntarily Terminated,Production       ,Elijiah Gray,16,Monster.com,Needs Improvement,1.27,,0,
"Barone, Francesco  A",1101023679,1,5,3,16.76,19,Production Technician I,MA,1810,07/20/83,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Kelley Spirea,18,Social Networks - Facebook Twitter etc,Fully Meets,1.41,4,0,0
"Carey, Michael  ",1311063114,1,5,3,20,19,Production Technician I,MA,1701,02-02-1983,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Kelley Spirea,18,MBTA ads,Fully Meets,4.43,3,0,0
"Cornett, Lisa ",1403066069,1,5,3,15.75,19,Production Technician I,MA,2189,03/31/77,F,Married,US Citizen,N/A - still employed,Active,Production       ,Kelley Spirea,18,Billboard,Fully Meets,4.73,5,0,0
"Engdahl, Jean",1007020403,1,5,3,21.25,19,Production Technician I,MA,2026,05/31/74,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Kelley Spirea,18,,Fully Meets,1.86,5,0,0
"England, Rex",1101023612,1,5,3,,19,Production Technician I,MA,2045,08/25/78,M ,Married,,N/A - still employed,Active,Production       ,Kelley Spirea,18,Employee Referral,Fully Meets,2.05,3,0,0
"Gaul, Barbara",1105026041,1,5,3,24,19,Production Technician I,MA,2121,12-02-1983,F,Single,US Citizen,N/A - still employed,Active,Production       ,Kelley Spirea,18,MBTA ads,Fully Meets,,4,0,0
"Gross, Paula",1103024859,5,5,3,14,19,Production Technician I,MA,2176,05/21/83,F,Divorced,US Citizen,more money,Voluntarily Terminated,Production       ,Kelley Spirea,18,Monster.com,Fully Meets,5,5,0,
"Jhaveri, Sneha  ",1412071713,1,5,3,19,19,Production Technician I,MA,2109,04/13/64,F,Separated,US Citizen,N/A - still employed,Active,Production       ,Kelley Spirea,18,On-campus Recruiting,Fully Meets,5,,0,2
"LeBel, Jonathan  R",1107027575,4,5,3,15,19,Production Technician I,MA,2050,10/18/81,M ,Single,US Citizen,attendance,Terminated for Cause,Production       ,Kelley Spirea,18,Social Networks - Facebook Twitter etc,Fully Meets,5,4,0,
"Meads, Elizabeth",1409070245,5,5,3,14,19,Production Technician I,MA,1760,05/30/68,F,Single,US Citizen,Another position,Voluntarily Terminated,Production       ,Kelley Spirea,18,Diversity Job Fair,Fully Meets,4.18,4,0,
"Osturnka, Adeel",1404066949,1,5,4,16,19,Production Technician I,MA,2478,12-11-1976,,Married,US Citizen,N/A - still employed,Active,Production       ,Kelley Spirea,18,On-campus Recruiting,Exceeds,2.86,3,0,0
"Punjabhi, Louis  ",1401064562,1,5,3,16,19,Production Technician I,MA,2109,06/19/61,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Kelley Spirea,18,Employee Referral,Fully Meets,2.45,3,0,0
"Saar-Beckles, Melinda",1410070998,2,5,2,20,19,Production Technician I,MA,1801,06-06-1968,F,Single,US Citizen,N/A - Has not started yet,Future Start,Production       ,Kelley Spirea,18,Diversity Job Fair,Needs Improvement,1.12,4,0,0
"Stoica, Rick",1106026896,1,5,3,22,19,Production Technician I,MA,2301,03/14/85,M ,Married,US Citizen,N/A - still employed,Active,Production       ,Kelley Spirea,18,On-campus Recruiting,Fully Meets,1.39,3,0,0
"Volk, Colleen",1011022814,4,5,4,21,19,Production Technician I,MA,2747,06-03-1986,F,Married,US Citizen,gross misconduct,Terminated for Cause,Production       ,Kelley Spirea,18,Social Networks - Facebook Twitter etc,Exceeds,2.79,,0,
"Athwal, Sam",1301052124,1,5,3,22,19,Production Technician I,MA,2199,02/18/83,M ,Widowed,US Citizen,N/A - still employed,Active,Production       ,Ketsia Liebig,19,Employee Referral,Fully Meets,,,0,5
"Biden, Lowan  M",1412071844,1,5,3,,19,Production Technician I,MA,2027,12/27/58,F,Divorced,US Citizen,N/A - still employed,Active,Production       ,Ketsia Liebig,19,Billboard,Fully Meets,2.39,,0,0
"Cierpiszewski, Caroline  ",1012023295,1,5,3,22,19,Production Technician I,MA,2044,05/31/88,F,Single,Non-Citizen,N/A - still employed,Active,Production       ,Ketsia Liebig,19,Pay Per Click - Google,Fully Meets,3.58,5,0,0
"Dickinson, Geoff ",706006285,1,5,3,21,19,Production Technician I,MA,2180,11/15/82,M ,Single,,N/A - still employed,Active,Production       ,Ketsia Liebig,19,,Fully Meets,1.13,4,0,0
"Ferreira, Violeta",803009012,1,5,3,23,19,Production Technician I,MA,2176,06-10-1986,F,Single,US Citizen,N/A - still employed,Active,Production       ,Ketsia Liebig,19,Newspager/Magazine,Fully Meets,1.85,4,0,4
"Gold, Shenice  ",1408069539,1,5,3,17,19,Production Technician I,MA,2451,06/18/92,F,Single,US Citizen,N/A - still employed,Active,Production       ,Ketsia Liebig,19,Glassdoor,Fully Meets,1.94,5,0,0
"Heitzman, Anthony",1002017900,1,5,3,19,19,Production Technician I,MA,2149,01-04-1984,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Ketsia Liebig,19,Social Networks - Facebook Twitter etc,Fully Meets,4.17,4,0,0
"Knapp, Bradley  J",1304055683,1,5,3,14,19,Production Technician I,MA,1721,11-10-1977,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Ketsia Liebig,19,On-campus Recruiting,Fully Meets,2.79,3,0,0
"Mahoney, Lauren  ",1209049259,1,5,3,17,19,Production Technician I,MA,2189,07-07-1986,F,Single,US Citizen,N/A - still employed,Active,Production       ,Ketsia Liebig,19,Newspager/Magazine,Fully Meets,,4,0,0
"Newman, Richard ",1302053044,3,5,3,21,19,Production Technician I,MA,2136,04-08-1977,M ,Married,US Citizen,N/A - still employed,Leave of Absence,Production       ,Ketsia Liebig,19,On-campus Recruiting,Fully Meets,5,5,0,0
"Peterson, Kayla ",1307059944,1,5,3,17,19,Production Technician I,MA,1749,09/23/73,F,Married,US Citizen,N/A - still employed,Active,Production       ,Ketsia Liebig,19,Search Engine - Google Bing Yahoo,Fully Meets,2.72,,0,0
"Robinson, Cherly",1403065625,4,5,2,,19,Production Technician I,MA,1460,01-07-1985,F,Married,US Citizen,attendance,Terminated for Cause,Production       ,Ketsia Liebig,19,Glassdoor,Needs Improvement,3.6,3,0,
"Smith, Sade",1501071909,1,5,3,24.5,19,Production Technician I,MA,2130,02-02-1965,F,Single,US Citizen,N/A - still employed,Active,Production       ,Ketsia Liebig,19,Employee Referral,Fully Meets,3.73,3,0,0
"Tinto, Theresa  ",1103024504,5,5,3,20,19,Production Technician I,MA,1876,07/30/83,F,Divorced,US Citizen,Another position,Voluntarily Terminated,Production       ,Ketsia Liebig,19,Social Networks - Facebook Twitter etc,Fully Meets,2.81,5,0,
"Williams, Jacquelyn  ",1308060671,5,5,3,16,19,Production Technician I,MA,2109,10-02-1969,,Single,US Citizen,relocation out of area,Voluntarily Terminated,Production       ,Ketsia Liebig,19,Diversity Job Fair,Fully Meets,1.44,4,0,
"Barbara, Thomas",1312063507,5,5,3,22,19,Production Technician I,MA,2062,02/21/74,M ,Married,,unhappy,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Diversity Job Fair,Fully Meets,1.98,,0,
"Bugali, Josephine ",1408069635,3,5,3,20,19,Production Technician I,MA,2043,10/30/69,F,Separated,US Citizen,N/A - still employed,Leave of Absence,Production       ,Kissy Sullivan,20,Diversity Job Fair,Fully Meets,2.83,5,0,3
"Cole, Spencer",1001450968,4,5,2,15,19,Production Technician I,MA,1880,08-12-1979,M ,Single,US Citizen,performance,Terminated for Cause,Production       ,Kissy Sullivan,20,,Needs Improvement,1.42,3,0,
"Eaton, Marianne",1406067865,5,5,3,17,19,Production Technician I,MA,2343,09-05-1991,F,Married,US Citizen,military,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Search Engine - Google Bing Yahoo,Fully Meets,5,3,0,
"Garneau, Hamish",1104025414,1,5,3,18,19,Production Technician I,MA,1550,04/18/80,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Kissy Sullivan,20,Professional Society,Fully Meets,,4,0,0
"Goyal, Roxana",1312063675,3,5,3,,19,Production Technician I,MA,1864,10-09-1974,F,Married,US Citizen,N/A - still employed,Leave of Absence,Production       ,Kissy Sullivan,20,On-campus Recruiting,Fully Meets,1.71,,0,0
"Jacobi, Hannah  ",1503072857,1,5,3,21,19,Production Technician I,MA,1778,03/22/66,F,Divorced,US Citizen,N/A - still employed,Active,Production       ,Kissy Sullivan,20,Employee Referral,Fully Meets,2.05,5,0,0
"Leach, Dallas",1408069409,5,5,3,19,19,Production Technician I,MA,1810,01/17/79,F,Single,US Citizen,return to school,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Monster.com,Fully Meets,4.88,3,0,
"Mckenna, Sandy",909015167,1,5,3,24,19,Production Technician I,MA,2184,01-07-1987,F,Married,US Citizen,N/A - still employed,Active,Production       ,Kissy Sullivan,20,Monster.com,Fully Meets,3.93,3,0,0
"O'hare, Lynn",1206044851,4,5,1,18.5,19,Production Technician I,MA,2152,09/30/80,F,Single,,performance,Terminated for Cause,Production       ,Kissy Sullivan,20,Professional Society,PIP,3.09,2,0,
"Power, Morissa",1102024274,5,5,3,19,19,Production Technician I,MA,1742,10/15/84,F,Divorced,Eligible NonCitizen,Another position,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Social Networks - Facebook Twitter etc,Fully Meets,3.17,,0,
"Purinton, Janine",1011022926,5,5,3,16,19,Production Technician I,MA,2474,09/22/70,F,Divorced,US Citizen,unhappy,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Billboard,Fully Meets,1.5,5,0,
"Rossetti, Bruno",1405067492,5,5,3,18,19,Production Technician I,MA,2155,03/18/87,M ,Single,US Citizen,Another position,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Search Engine - Google Bing Yahoo,Fully Meets,5,5,0,
"Stanford,Barbara  M",1111030244,1,5,3,14,19,Production Technician I,MA,2050,08/25/82,,Divorced,US Citizen,N/A - still employed,Active,Production       ,Kissy Sullivan,20,Word of Mouth,Fully Meets,1.05,4,0,5
"Veera, Abdellah ",1203032235,5,5,4,19,19,Production Technician I,MA,2171,01/31/87,M ,Divorced,US Citizen,maternity leave - did not return,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Information Session,Exceeds,3.84,5,0,
"Adinolfi, Wilson  K",1409070522,1,5,4,20,19,Production Technician I,MA,1960,07-10-1983,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Michael Albert,22,MBTA ads,Exceeds,,5,0,0
"Barton, Nader",1212051962,5,5,3,18,19,Production Technician I,MA,2747,07/15/77,M ,Divorced,US Citizen,Another position,Voluntarily Terminated,Production       ,Michael Albert,22,,Fully Meets,5,5,0,
"Chace, Beatrice ",1208048062,1,5,3,,19,Production Technician I,MA,2763,01-02-1951,F,Single,US Citizen,N/A - still employed,Active,Production       ,Michael Albert,22,Search Engine - Google Bing Yahoo,Fully Meets,5,4,0,0
"Crimmings,   Jean",1311063172,2,5,3,19.75,19,Production Technician I,MA,1821,04-10-1987,F,Single,US Citizen,N/A - Has not started yet,Future Start,Production       ,Michael Albert,22,Newspager/Magazine,Fully Meets,4.12,5,0,0
"Estremera, Miguel",1104025243,4,5,2,17,19,Production Technician I,MA,2129,09-02-1983,M ,Single,US Citizen,attendance,Terminated for Cause,Production       ,Michael Albert,22,Word of Mouth,Needs Improvement,5,4,0,
"Gentry, Mildred",1501072192,1,5,3,19,19,Production Technician I,MA,2145,10-01-1990,F,Married,US Citizen,N/A - still employed,Active,Production       ,Michael Albert,22,Professional Society,Fully Meets,3.73,3,0,0
"Handschiegl, Joanne",1405067064,1,5,3,24,19,Production Technician I,MA,2127,03/23/77,F,Married,US Citizen,N/A - still employed,Active,Production       ,Michael Albert,22,Word of Mouth,Fully Meets,4.2,4,0,3
"Johnson, George",1105025721,5,5,4,17,19,Production Technician I,MA,2445,08/19/59,M ,Married,,more money,Voluntarily Terminated,Production       ,Michael Albert,22,Monster.com,Exceeds,1.65,4,0,
"Keatts, Kramer ",1301052462,1,5,3,,19,Production Technician I,MA,1887,01/19/76,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Michael Albert,22,Billboard,Fully Meets,3.07,4,0,0
"Linares, Marilyn ",1206042315,5,5,3,15.25,19,Production Technician I,MA,1886,03/26/81,F,Married,US Citizen,unhappy,Voluntarily Terminated,Production       ,Michael Albert,22,Internet Search,Fully Meets,3.18,4,0,
"Medeiros, Jennifer",1109029256,1,5,3,20,19,Production Technician I,MA,2346,09/22/76,F,Single,US Citizen,N/A - still employed,Active,Production       ,Michael Albert,22,Monster.com,Fully Meets,5,4,0,0
"Owad, Clinton",1103024335,1,5,2,22,19,Production Technician I,MA,1760,11/24/79,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Michael Albert,22,MBTA ads,Needs Improvement,4.25,,0,0
"Rarrick, Quinn",1208048229,5,5,3,21,19,Production Technician I,MA,2478,12/31/84,M ,Divorced,US Citizen,more money,Voluntarily Terminated,Production       ,Michael Albert,22,Pay Per Click - Google,Fully Meets,3.8,5,0,
"Sadki, Nore  ",1308060535,5,5,3,21,19,Production Technician I,MA,2148,12/21/74,M ,Single,US Citizen,relocation out of area,Voluntarily Terminated,Production       ,Michael Albert,22,Word of Mouth,Fully Meets,1.53,5,0,
"Sullivan, Timothy",1201031310,1,5,3,19,19,Production Technician I,MA,2747,10-07-1982,M ,Married,US Citizen,N/A - still employed,Active,Production       ,Michael Albert,22,Word of Mouth,Fully Meets,,5,0,0
"Von Massenbach, Anna",1106026474,2,5,3,,19,Production Technician I,MA,2124,04-06-1985,F,Single,US Citizen,N/A - Has not started yet,Future Start,Production       ,Michael Albert,22,Newspager/Magazine,Fully Meets,3.21,3,0,0
"Anderson, Carol ",1001417624,5,5,3,16,19,Production Technician I,MA,2169,09-08-1989,F,Divorced,US Citizen,return to school,Voluntarily Terminated,Production       ,Webster Butler,39,,Fully Meets,5,4,0,
"Becker, Scott",1110029777,3,5,3,17,19,Production Technician I,MA,2452,04-06-1979,M ,Single,US Citizen,N/A - still employed,Leave of Absence,Production       ,Webster Butler,,MBTA ads,Fully Meets,1.09,4,0,7
"Chang, Donovan  E",1111030129,1,5,3,22,19,Production Technician I,MA,1845,08/24/83,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Webster Butler,,Newspager/Magazine,Fully Meets,3.8,5,0,0
"DeGweck,  James",1306058816,5,5,3,23.5,19,Production Technician I,MA,1810,10/31/77,,Married,US Citizen,unhappy,Voluntarily Terminated,Production       ,Webster Butler,39,Billboard,Fully Meets,5,4,0,
"Ferguson, Susan",1502072511,5,5,3,20,19,Production Technician I,MA,2176,04/14/55,,Married,,military,Voluntarily Terminated,Production       ,Webster Butler,39,Search Engine - Google Bing Yahoo,Fully Meets,3.13,,0,
"Gilles, Alex",1008020960,5,5,2,15,19,Production Technician I,MA,2062,08-09-1974,M ,Married,,military,Voluntarily Terminated,Production       ,Webster Butler,39,Diversity Job Fair,Needs Improvement,3.97,4,0,
"Harrington, Christie ",1110029602,5,5,3,19.75,19,Production Technician I,MA,2324,08/18/52,F,Single,US Citizen,retiring,Voluntarily Terminated,Production       ,Webster Butler,39,Monster.com,Fully Meets,4.64,,0,
"Kinsella, Kathleen  ",710007401,5,5,3,,19,Production Technician I,MA,2170,12-08-1973,F,Married,US Citizen,more money,Voluntarily Terminated,Production       ,Webster Butler,39,Search Engine - Google Bing Yahoo,Fully Meets,3.6,,0,
"Lynch, Lindsay",1001138521,5,5,4,19,19,Production Technician I,MA,1844,02/14/73,F,Single,US Citizen,Another position,Voluntarily Terminated,Production       ,Webster Butler,39,Diversity Job Fair,Exceeds,5,4,0,
"Ndzi, Colombui",1204033041,5,5,3,18,19,Production Technician I,MA,2110,05-02-1989,M ,Single,US Citizen,return to school,Voluntarily Terminated,Production       ,Webster Butler,39,Diversity Job Fair,Fully Meets,,3,0,
"Pelech, Emil",1307060058,5,5,2,24,19,Production Technician I,MA,2458,03/17/88,M ,Single,US Citizen,career change,Voluntarily Terminated,Production       ,Webster Butler,39,Search Engine - Google Bing Yahoo,Needs Improvement,3.54,5,0,
"Rivera, Haley  ",1405067642,1,5,4,22,19,Production Technician I,MA,2171,01-12-1973,F,Married,US Citizen,N/A - still employed,Active,Production       ,Webster Butler,,Search Engine - Google Bing Yahoo,Exceeds,4.36,5,0,0
"Sewkumar, Nori",807010161,3,5,3,,19,Production Technician I,MA,2191,03-10-1975,,Single,US Citizen,N/A - still employed,Leave of Absence,Production       ,Webster Butler,,Search Engine - Google Bing Yahoo,Fully Meets,5,5,0,3
"Tavares, Desiree  ",1405067501,5,5,3,15,19,Production Technician I,MA,1801,04-03-1975,,Married,,Another position,Voluntarily Terminated,Production       ,Webster Butler,39,,Fully Meets,2.52,5,0,
"Whittier, Scott",1307060212,5,5,3,23,19,Production Technician I,MA,2030,05/24/87,M ,Single,US Citizen,hours,Voluntarily Terminated,Production       ,Webster Butler,39,Newspager/Magazine,Fully Meets,5,5,0,
"Burke, Joelle",1011022820,1,5,3,25,20,Production Technician II,MA,2148,03-02-1980,F,Single,US Citizen,N/A - still employed,Active,Production       ,Amy Dunn,11,Employee Referral,Fully Meets,4.51,,0,0
"Fitzpatrick, Michael  J",1109029103,5,5,3,29,20,Production Technician II,MA,2143,10-01-1981,M ,Single,US Citizen,hours,Voluntarily Terminated,Production       ,Amy Dunn,11,Social Networks - Facebook Twitter etc,Fully Meets,4.76,5,0,
"Huynh, Ming",1306058509,5,5,3,23,20,Production Technician II,MA,1742,09/22/76,F,Divorced,US Citizen,unhappy,Voluntarily Terminated,Production       ,Amy Dunn,11,Search Engine - Google Bing Yahoo,Fully Meets,3.72,3,0,
"Mancuso, Karen",1304055986,5,5,3,23,20,Production Technician II,MA,2176,12-10-1986,F,Married,US Citizen,Another position,Voluntarily Terminated,Production       ,Amy Dunn,11,Newspager/Magazine,Fully Meets,5,4,0,
"Pelletier, Ermine",1202031821,5,5,2,28,20,Production Technician II,MA,2472,07/18/89,F,Married,US Citizen,unhappy,Voluntarily Terminated,Production       ,Amy Dunn,11,Monster.com,Needs Improvement,,5,0,
"Trzeciak, Cybil",1107027551,5,5,3,22,20,Production Technician II,MA,1778,03/15/85,F,Single,US Citizen,unhappy,Voluntarily Terminated,Production       ,Amy Dunn,11,Vendor Referral,Fully Meets,1.3,3,0,
"Cloninger, Jennifer",1012023226,5,5,3,25,20,Production Technician II,MA,1752,08/31/81,F,Married,US Citizen,unhappy,Voluntarily Terminated,Production       ,Brannon Miller,12,Word of Mouth,Fully Meets,1.16,5,0,
"Gonzalez, Juan",1411071324,5,5,1,29,20,Production Technician II,MA,2128,10-12-1964,M ,Married,US Citizen,career change,Voluntarily Terminated,Production       ,Brannon Miller,12,,PIP,4.35,3,0,
"Johnston, Yen",1306057810,1,5,4,25,20,Production Technician II,MA,2128,09-08-1969,,Single,US Citizen,N/A - still employed,Active,Production       ,Brannon Miller,12,Professional Society,Exceeds,1.51,3,0,0
"Miller, Ned",1205033439,5,5,1,,20,Production Technician II,MA,2472,06/29/85,M ,Single,US Citizen,unhappy,Voluntarily Terminated,Production       ,Brannon Miller,12,MBTA ads,PIP,5,,0,
"Petingill, Shana  ",1103024843,1,5,3,26,20,Production Technician II,MA,2050,03-10-1979,F,Married,Eligible NonCitizen,N/A - still employed,Active,Production       ,Brannon Miller,12,MBTA ads,Fully Meets,2.61,3,0,0
"Winthrop, Jordan  ",1405067188,5,5,4,29,20,Production Technician II,MA,2045,11-07-1958,M ,Single,,retiring,Voluntarily Terminated,Production       ,Brannon Miller,12,Professional Society,Exceeds,,,0,
"Close, Phil",1209048697,5,5,3,26,20,Production Technician II,MA,2169,11/25/78,M ,Married,US Citizen,career change,Voluntarily Terminated,Production       ,David Stanley,14,Other,Fully Meets,1.3,,0,
"Good, Susan",1001549006,3,5,3,24.25,20,Production Technician II,MA,1886,05/25/86,F,Married,US Citizen,N/A - still employed,Leave of Absence,Production       ,David Stanley,14,Professional Society,Fully Meets,2.04,3,0,0
"Langford, Lindsey",1010022030,5,5,3,22,20,Production Technician II,MA,2090,07/25/79,F,Divorced,US Citizen,Another position,Voluntarily Terminated,Production       ,David Stanley,14,Glassdoor,Fully Meets,4.52,3,0,
"Monkfish, Erasumus",1404066711,1,5,3,27,20,Production Technician II,MA,1450,08/17/92,M ,Married,US Citizen,N/A - still employed,Active,Production       ,David Stanley,14,Professional Society,Fully Meets,2.67,3,0,0
"Roberson, May",1402065340,5,5,3,26,20,Production Technician II,MA,1902,09-05-1981,F,Divorced,Eligible NonCitizen,return to school,Voluntarily Terminated,Production       ,David Stanley,14,Search Engine - Google Bing Yahoo,Fully Meets,2.19,4,0,
"Wolk, Hang  T",1205033180,1,5,3,22,20,Production Technician II,MA,2302,04/20/85,F,Single,US Citizen,N/A - still employed,Active,Production       ,David Stanley,14,Newspager/Magazine,Fully Meets,3.4,4,0,0
"Bondwell, Betsy",1008021030,5,5,3,,20,Production Technician II,MA,2210,01/16/67,,Single,US Citizen,career change,Voluntarily Terminated,Production       ,Elijiah Gray,16,Search Engine - Google Bing Yahoo,Fully Meets,1.38,5,0,
"Faller, Megan ",1108028428,1,5,3,27,20,Production Technician II,MA,1824,09/22/78,F,Married,US Citizen,N/A - still employed,Active,Production       ,Elijiah Gray,16,Professional Society,Fully Meets,1.49,5,0,0
"Hunts, Julissa",1106026433,2,5,3,25,20,Production Technician II,MA,2021,03-11-1984,F,Single,US Citizen,N/A - Has not started yet,Future Start,Production       ,Elijiah Gray,16,Vendor Referral,Fully Meets,2.92,5,0,7
"Lunquist, Lisa",1001504432,1,5,4,26.1,20,Production Technician II,MA,2324,03/28/82,F,Single,,N/A - still employed,Active,Production       ,Elijiah Gray,16,Glassdoor,Exceeds,1.64,4,0,0
"Nowlan, Kristie",1104025435,1,5,3,26.39,20,Production Technician II,MA,1040,11/23/85,F,Single,US Citizen,N/A - still employed,Active,Production       ,Elijiah Gray,16,,Fully Meets,4.53,5,0,0
"Smith, Joe",1001970770,1,5,4,22,20,Production Technician II,MA,2045,10/30/63,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Elijiah Gray,16,Pay Per Click - Google,Exceeds,,,0,0
"Tejeda, Lenora ",1406068345,5,5,3,,20,Production Technician II,MA,2129,05/24/53,F,Married,US Citizen,Another position,Voluntarily Terminated,Production       ,Elijiah Gray,16,Search Engine - Google Bing Yahoo,Fully Meets,3.93,3,0,
"Beak, Kimberly  ",1303054329,2,5,4,27,20,Production Technician II,MA,2145,04/17/66,F,Married,US Citizen,N/A - Has not started yet,Future Start,Production       ,Kelley Spirea,18,Employee Referral,Exceeds,2.7,3,0,0
"Demita, Carla",1104025179,5,5,3,29,20,Production Technician II,MA,2343,02/25/51,F,Separated,US Citizen,more money,Voluntarily Terminated,Production       ,Kelley Spirea,18,Search Engine - Google Bing Yahoo,Fully Meets,4.62,5,0,
"Hankard, Earnest",1307059937,1,5,3,24,20,Production Technician II,MA,2155,08-10-1988,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Kelley Spirea,18,Newspager/Magazine,Fully Meets,5,3,0,5
"Hendrickson, Trina",1011022932,5,5,3,24,20,Production Technician II,MA,2021,08/27/72,,Single,US Citizen,hours,Voluntarily Terminated,Production       ,Kelley Spirea,18,Monster.com,Fully Meets,5,3,0,
